run_name,model,input,lr,dropout,frozen_backbone,accuracy,recall,macro_f1,roc_auc
resnet18_original_light_lr5e5,ResNet18,full,5e-5,0.3,no,0.831,0.83,0.83,0.868
convnext_tiny_crop_light_lr5e5,ConvNeXt-Tiny,crop,5e-5,0.3,no,0.805,0.804,0.804,0.886
convnext_tiny_crop_light_dropout0,ConvNeXt-Tiny,crop,1e-4,0.0,no,0.782,0.782,0.782,0.885
convnext_tiny_crop_light_frozen,ConvNeXt-Tiny,crop,3e-4,0.3,yes,0.778,0.778,0.778,0.849
convnext_tiny_crop_light_lr3e4,ConvNeXt-Tiny,crop,3e-4,0.3,no,0.771,0.771,0.771,0.825
convnext_tiny_crop_light_dropout1,ConvNeXt-Tiny,crop,1e-4,0.1,no,0.771,0.77,0.77,0.828
